Date,Open,High,Low,Close,Adj Close,Volume
2020-09-22,4600.000000,4740.000000,4590.000000,4670.000000,3602.514648,22893300
2020-09-23,4680.000000,4730.000000,4590.000000,4630.000000,3571.657959,15696100
2020-09-24,4620.000000,4650.000000,4560.000000,4600.000000,3548.515381,24393300
2020-09-25,4610.000000,4920.000000,4610.000000,4860.000000,3749.083496,40064600
2020-09-28,4870.000000,4910.000000,4740.000000,4740.000000,3656.513672,28967600
2020-09-29,4760.000000,4800.000000,4560.000000,4570.000000,3525.372803,31707100
2020-09-30,4560.000000,4570.000000,4450.000000,4460.000000,3440.517334,40490200
2020-10-01,4490.000000,4640.000000,4490.000000,4610.000000,3556.229736,32822900
2020-10-02,4630.000000,4640.000000,4520.000000,4590.000000,3540.801270,33355000
2020-10-05,4600.000000,4630.000000,4540.000000,4560.000000,3517.658691,20624400
2020-10-06,4650.000000,4660.000000,4600.000000,4620.000000,3563.943604,23682500
2020-10-07,4590.000000,4630.000000,4560.000000,4630.000000,3592.654053,21814000
2020-10-08,4640.000000,4770.000000,4630.000000,4750.000000,3685.767822,32946600
2020-10-09,4720.000000,4760.000000,4700.000000,4740.000000,3678.008545,19525000
2020-10-12,4790.000000,4810.000000,4700.000000,4700.000000,3646.969971,23749400
2020-10-13,4700.000000,4750.000000,4650.000000,4740.000000,3678.008545,25032100
2020-10-14,4710.000000,4860.000000,4710.000000,4820.000000,3740.084961,50174100
2020-10-15,4820.000000,4820.000000,4740.000000,4740.000000,3678.008545,29382300
2020-10-16,4740.000000,4930.000000,4700.000000,4930.000000,3825.439697,37775400
2020-10-19,4930.000000,5075.000000,4880.000000,5000.000000,3879.756104,38057900
2020-10-20,4990.000000,5175.000000,4960.000000,5175.000000,4015.547119,68915600
2020-10-21,5200.000000,5250.000000,5175.000000,5250.000000,4073.743896,52567200
2020-10-22,5200.000000,5275.000000,5200.000000,5250.000000,4073.743896,75883000
2020-10-23,5300.000000,5400.000000,5250.000000,5400.000000,4190.136719,46040700
2020-10-26,5400.000000,5450.000000,5300.000000,5400.000000,4190.136719,33055000
2020-10-27,5300.000000,5500.000000,5300.000000,5425.000000,4209.535156,45393900
2020-11-02,5325.000000,5425.000000,5275.000000,5400.000000,4190.136719,48772200
2020-11-03,5450.000000,5500.000000,5425.000000,5500.000000,4267.730957,44789800
2020-11-04,5475.000000,5500.000000,5350.000000,5400.000000,4190.136719,22433700
